fullname,shortname,category
,,
Writing and Rhetoric/University Seminar,Env/Eng W.R.U.S 1,5
MATH : Calculus I,Env/Eng MTH C I,5
Chemistry: Fundamental,Env/Eng Ch. Fund 1,5
Arts and Letters,Env/Eng AL,5
Moreau First Year Experience/ROTC/Seminar,Env/Eng Moreau,5
Intro. Eng. Systems,Env/Eng Eng. Sys,5
Writing and Rhetoric/University Seminar,Env/Eng W.R.U.S 2,5
Math : Calculus II,Env/Eng MTH C II,5
Chemistry: Biological or Substitute,Env/Eng Ch. Bio. Sub.,5
General Physics 1,Env/Eng Gen. Phy,5
Experience/ROTC/Seminar,Env/Eng Exp. Sem,5
,,
MATH : Calculus III,Env/Eng MTH C III,5
Planet Earth,Env/Eng PE,5
Planet Earth lab,Env/Eng PE Lab,5
Intro Env. Eng.,Env/Eng Intro Env. Eng.,5
Intro Env. Eng. Lab,Env/Eng Intro Env. Eng. Lab,5
Statics,Env/Eng Stcs,5
"Global Change, Water and Energy",Env/Eng Glob. CWE,5
Physics II,Env/Eng Phy III,5
Lin. Alg. & Diff. Equations,Env/Eng Lin. Alg. & Diff. Equations,5
Environmental Aquatic Chemistry,Env/Eng Env AC,5
Probability and Statistics,Env/Eng Prob. Stcs,5
Programming,Env/Eng Prog,5
Challenges & Innovations Seminar,Env/Eng CIS2,5
Arts and Letters 1,Env/Eng AL1,5
,,
Environmental Hydrology,Env/Eng EH,5
Environmental Microbiology,Env/Eng EM,5
Computational Methods,Env/Eng CM,5
Water Chemistry & Treatment,Env/Eng WCT,5
Fluid Mechanics,Env/Eng FM,5
Hydraulics,Env/Eng Hyd,5
Environmental Mineralogy,Env/Eng Env Min,5
Technical Elective,Env/Eng Tech. Elect. 3,5
Arts and Letters 2,Env/Eng AL2,5
Challenges & Innovations Seminar,Env/Eng CIS3,5
Arts and Letters 3,Env/Eng AL3,5
,,
Groundwater Hydrology,Env/Eng Grd. Hyd,5
Reactive Transport,Env/Eng React. Trans.,5
Biological Processes Design,Env/Eng Bio. Proc. Des.,5
Technical Elective,Env/Eng Tech. Elect. 4,5
Geochemistry,Env/Eng Geoch.,5
Senior Design,Env/Eng Sen. Des.,5
Water Disease and Global Health,Env/Eng WDGH,5
Environmental Fluid Dynamics,Env/Eng Env. Fluid Dyn.,5
Technical Elective,Env/Eng Tech. Elect. 4.1,5
Principles of Practice,Env/Eng PP,5
Challenges & Innovation Seminar1,Env/Eng CIS3,5
Challenges & Innovation Seminar2,Env/Eng CIS4,5
Arts and Letters 4,Env/Eng AL4,5
Arts and Letters 5,Env/Eng AL5,5
,,
,,
,,
Writing and Rhetoric/University Seminar,Env/Ea W.R.U.S 1,6
Writing and Rhetoric/University Seminar,Env/Ea W.R.U.S 2,6
Calculus I,Env/Ea Cal 1,6
Calculus II,Env/Ea Cal 2,6
Chemistry: Fundamental,Env/Ea Ch. Fund 1,6
Chemistry: Biological or Substitute,Env/Ea Ch. Bio. Sub.,6
Arts and Letters 1,Env/Ea AL1,6
General Physics 1,Env/Ea GP1,6
Moreau First Year Experience/ROTC/Seminar,Env/Ea Moreau,6
